Model,Metric,seed42,seed123,seed456,mean,std,n_seeds
Ablation C — GEM / GAL,Precision,0.941684,0.944504,0.943335,0.943174,0.001417,3
Ablation D — WPL+GEM (combined),AP,0.364529,,,0.364529,0,1
Ablation D — WPL+GEM (combined),APs,0.313360,,,0.313360,0,1
Ablation D — WPL+GEM (combined),APm,0.591049,,,0.591049,0,1
Ablation D — WPL+GEM (combined),APl,0.283648,,,0.283648,0,1
Ablation D — WPL+GEM (combined),AP50,0.548484,,,0.548484,0,1
Ablation D — WPL+GEM (combined),AP75,0.439120,,,0.439120,0,1
Ablation D — WPL+GEM (combined),Recall,0.786264,,,0.786264,0,1
Ablation D — WPL+GEM (combined),Precision,0.941618,,,0.941618,0,1
Ablation E — P2+WPL+GEM (full),AP,0.365976,,,0.365976,0,1
Ablation E — P2+WPL+GEM (full),APs,0.317332,,,0.317332,0,1
Ablation E — P2+WPL+GEM (full),APm,0.587185,,,0.587185,0,1
Ablation E — P2+WPL+GEM (full),APl,0.247334,,,0.247334,0,1
Ablation E — P2+WPL+GEM (full),AP50,0.549077,,,0.549077,0,1
Ablation E — P2+WPL+GEM (full),AP75,0.441515,,,0.441515,0,1
Ablation E — P2+WPL+GEM (full),Recall,0.793729,,,0.793729,0,1
Ablation E — P2+WPL+GEM (full),Precision,0.928640,,,0.928640,0,1
Idea 1 — LSKA,AP,0.403970,0.404600,0.405984,0.404851,0.001030,3
Idea 1 — LSKA,APs,0.352059,0.351701,0.354761,0.352840,0.001673,3
Idea 1 — LSKA,APm,0.637407,0.636419,0.634396,0.636074,0.001535,3
Idea 1 — LSKA,APl,0.381688,0.391386,0.332480,0.368518,0.031584,3
Idea 1 — LSKA,AP50,0.579993,0.588980,0.588643,0.585872,0.005094,3
Idea 1 — LSKA,AP75,0.489545,0.490105,0.491246,0.490299,0.000867,3
Idea 1 — LSKA,Recall,0.836208,0.828854,0.840538,0.835200,0.005907,3
Idea 1 — LSKA,Precision,0.936108,0.949459,0.928501,0.938023,0.010610,3
Idea 2 — EMA,AP,0.406786,0.402522,0.401976,0.403761,0.002634,3
Idea 2 — EMA,APs,0.356081,0.354006,0.351160,0.353749,0.002471,3
Idea 2 — EMA,APm,0.627054,0.629820,0.633300,0.630058,0.003130,3
Idea 2 — EMA,APl,0.410715,0.367570,0.352418,0.376901,0.030248,3
Idea 2 — EMA,AP50,0.579870,0.579616,0.579350,0.579612,0.000260,3
Idea 2 — EMA,AP75,0.492778,0.489237,0.490490,0.490835,0.001795,3
Idea 2 — EMA,Recall,0.832437,0.826316,0.831392,0.830049,0.003275,3
Idea 2 — EMA,Precision,0.941090,0.953031,0.941020,0.945047,0.006914,3
Idea 3 — MSDA+CSPStage,AP,0.403664,0.403540,0.402296,0.403167,0.000756,3
Idea 3 — MSDA+CSPStage,APs,0.352677,0.350045,0.352744,0.351822,0.001539,3
